Name logfile: /home/pi/switcher3/switcher3.log 
Name configfile: /home/pi/switcher3/swconfig.ini 
swlist3: es wurden maximal 7 Devices gefunden

-----------------------------------------------------------------------
---- Liste aller Aktionen in Steuerfile:  Sommer Test 5 Devices
-----------------------------------------------------------------------
Liste 1:  Aktionen pro Wochentag ---------------

Tag: Sonntag - Anzahl Aktionen: 24
Zeit: 00.15 Device: 1/Wohnzimmer Switch On
Zeit: 00.15 Device: 2/Wintergarten Switch On
Zeit: 00.15 Device: 3/Ankleide Switch On
Zeit: 00.15 Device: 4/Arbeitszimmer Switch On
Zeit: 00.25 Device: 1/Wohnzimmer Switch On
Zeit: 00.25 Device: 2/Wintergarten Switch On
Zeit: 00.25 Device: 3/Ankleide Switch On
Zeit: 00.25 Device: 4/Arbeitszimmer Switch On
Zeit: 04.30 Device: 1/Wohnzimmer Switch On
Zeit: 04.30 Device: 5/Werkstatt Switch On
Zeit: 04.55 Device: 1/Wohnzimmer Switch On
Zeit: 04.58 Device: 5/Werkstatt Switch On
Zeit: 05.10 Device: 3/Ankleide Switch On
Zeit: 05.35 Device: 3/Ankleide Switch On
Zeit: 21.25 Device: 1/Wohnzimmer Switch On
Zeit: 22.05 Device: 1/Wohnzimmer Switch On
Zeit: 22.05 Device: 2/Wintergarten Switch On
Zeit: 22.05 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 4/Arbeitszimmer Switch On
Zeit: 22.40 Device: 1/Wohnzimmer Switch On
Zeit: 23.42 Device: 2/Wintergarten Switch On
Zeit: 23.42 Device: 3/Ankleide Switch On
Zeit: 23.42 Device: 4/Arbeitszimmer Switch On
Zeit: 23.55 Device: 1/Wohnzimmer Switch On
Tag: Montag - Anzahl Aktionen: 26
Zeit: 00.05 Device: 4/Arbeitszimmer Switch On
Zeit: 00.15 Device: 1/Wohnzimmer Switch On
Zeit: 00.15 Device: 3/Ankleide Switch On
Zeit: 00.17 Device: 4/Arbeitszimmer Switch On
Zeit: 00.25 Device: 1/Wohnzimmer Switch On
Zeit: 00.25 Device: 2/Wintergarten Switch On
Zeit: 00.45 Device: 2/Wintergarten Switch On
Zeit: 00.55 Device: 3/Ankleide Switch On
Zeit: 03.45 Device: 2/Wintergarten Switch On
Zeit: 03.55 Device: 2/Wintergarten Switch On
Zeit: 05.30 Device: 5/Werkstatt Switch On
Zeit: 05.58 Device: 5/Werkstatt Switch On
Zeit: 21.10 Device: 2/Wintergarten Switch On
Zeit: 21.23 Device: 3/Ankleide Switch On
Zeit: 21.30 Device: 2/Wintergarten Switch On
Zeit: 21.56 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 3/Ankleide Switch On
Zeit: 22.12 Device: 4/Arbeitszimmer Switch On
Zeit: 22.20 Device: 2/Wintergarten Switch On
Zeit: 22.35 Device: 1/Wohnzimmer Switch On
Zeit: 22.58 Device: 1/Wohnzimmer Switch On
Zeit: 23.09 Device: 4/Arbeitszimmer Switch On
Zeit: 23.14 Device: 3/Ankleide Switch On
Zeit: 23.15 Device: 1/Wohnzimmer Switch On
Zeit: 23.20 Device: 2/Wintergarten Switch On
Zeit: 23.42 Device: 1/Wohnzimmer Switch On
Tag: Dienstag - Anzahl Aktionen: 26
Zeit: 00.05 Device: 4/Arbeitszimmer Switch On
Zeit: 00.15 Device: 3/Ankleide Switch On
Zeit: 00.17 Device: 4/Arbeitszimmer Switch On
Zeit: 00.25 Device: 2/Wintergarten Switch On
Zeit: 00.45 Device: 2/Wintergarten Switch On
Zeit: 00.55 Device: 3/Ankleide Switch On
Zeit: 01.15 Device: 1/Wohnzimmer Switch On
Zeit: 01.25 Device: 1/Wohnzimmer Switch On
Zeit: 04.10 Device: 5/Werkstatt Switch On
Zeit: 04.35 Device: 2/Wintergarten Switch On
Zeit: 04.35 Device: 5/Werkstatt Switch On
Zeit: 04.55 Device: 2/Wintergarten Switch On
Zeit: 21.10 Device: 2/Wintergarten Switch On
Zeit: 21.23 Device: 3/Ankleide Switch On
Zeit: 21.30 Device: 2/Wintergarten Switch On
Zeit: 21.40 Device: 4/Arbeitszimmer Switch On
Zeit: 21.56 Device: 3/Ankleide Switch On
Zeit: 21.57 Device: 4/Arbeitszimmer Switch On
Zeit: 22.05 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 1/Wohnzimmer Switch On
Zeit: 22.12 Device: 4/Arbeitszimmer Switch On
Zeit: 22.20 Device: 2/Wintergarten Switch On
Zeit: 23.09 Device: 4/Arbeitszimmer Switch On
Zeit: 23.14 Device: 3/Ankleide Switch On
Zeit: 23.20 Device: 2/Wintergarten Switch On
Zeit: 23.42 Device: 1/Wohnzimmer Switch On
Tag: Mittwoch - Anzahl Aktionen: 26
Zeit: 00.05 Device: 4/Arbeitszimmer Switch On
Zeit: 00.15 Device: 1/Wohnzimmer Switch On
Zeit: 00.15 Device: 3/Ankleide Switch On
Zeit: 00.17 Device: 4/Arbeitszimmer Switch On
Zeit: 00.25 Device: 1/Wohnzimmer Switch On
Zeit: 00.25 Device: 2/Wintergarten Switch On
Zeit: 00.45 Device: 2/Wintergarten Switch On
Zeit: 00.55 Device: 3/Ankleide Switch On
Zeit: 02.45 Device: 2/Wintergarten Switch On
Zeit: 02.57 Device: 2/Wintergarten Switch On
Zeit: 03.30 Device: 5/Werkstatt Switch On
Zeit: 03.45 Device: 5/Werkstatt Switch On
Zeit: 04.10 Device: 5/Werkstatt Switch On
Zeit: 04.25 Device: 5/Werkstatt Switch On
Zeit: 21.23 Device: 3/Ankleide Switch On
Zeit: 21.56 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 1/Wohnzimmer Switch On
Zeit: 22.10 Device: 2/Wintergarten Switch On
Zeit: 22.12 Device: 4/Arbeitszimmer Switch On
Zeit: 22.30 Device: 2/Wintergarten Switch On
Zeit: 23.09 Device: 4/Arbeitszimmer Switch On
Zeit: 23.14 Device: 3/Ankleide Switch On
Zeit: 23.20 Device: 2/Wintergarten Switch On
Zeit: 23.42 Device: 1/Wohnzimmer Switch On
Zeit: 23.56 Device: 2/Wintergarten Switch On
Tag: Donnerstag - Anzahl Aktionen: 22
Zeit: 00.05 Device: 4/Arbeitszimmer Switch On
Zeit: 00.15 Device: 1/Wohnzimmer Switch On
Zeit: 00.15 Device: 3/Ankleide Switch On
Zeit: 00.17 Device: 4/Arbeitszimmer Switch On
Zeit: 00.25 Device: 1/Wohnzimmer Switch On
Zeit: 00.25 Device: 2/Wintergarten Switch On
Zeit: 00.45 Device: 2/Wintergarten Switch On
Zeit: 00.55 Device: 3/Ankleide Switch On
Zeit: 02.30 Device: 5/Werkstatt Switch On
Zeit: 03.58 Device: 5/Werkstatt Switch On
Zeit: 08.30 Device: 1/Wohnzimmer Switch On
Zeit: 08.58 Device: 1/Wohnzimmer Switch On
Zeit: 21.23 Device: 3/Ankleide Switch On
Zeit: 21.56 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 1/Wohnzimmer Switch On
Zeit: 22.12 Device: 4/Arbeitszimmer Switch On
Zeit: 22.20 Device: 2/Wintergarten Switch On
Zeit: 23.09 Device: 4/Arbeitszimmer Switch On
Zeit: 23.14 Device: 3/Ankleide Switch On
Zeit: 23.20 Device: 2/Wintergarten Switch On
Zeit: 23.42 Device: 1/Wohnzimmer Switch On
Tag: Freitag - Anzahl Aktionen: 26
Zeit: 00.05 Device: 4/Arbeitszimmer Switch On
Zeit: 00.15 Device: 1/Wohnzimmer Switch On
Zeit: 00.15 Device: 3/Ankleide Switch On
Zeit: 00.17 Device: 4/Arbeitszimmer Switch On
Zeit: 00.25 Device: 1/Wohnzimmer Switch On
Zeit: 00.25 Device: 2/Wintergarten Switch On
Zeit: 00.45 Device: 2/Wintergarten Switch On
Zeit: 00.55 Device: 3/Ankleide Switch On
Zeit: 05.45 Device: 5/Werkstatt Switch On
Zeit: 06.14 Device: 5/Werkstatt Switch On
Zeit: 21.00 Device: 4/Arbeitszimmer Switch On
Zeit: 21.10 Device: 2/Wintergarten Switch On
Zeit: 21.18 Device: 4/Arbeitszimmer Switch On
Zeit: 21.23 Device: 3/Ankleide Switch On
Zeit: 21.30 Device: 2/Wintergarten Switch On
Zeit: 21.45 Device: 1/Wohnzimmer Switch On
Zeit: 21.55 Device: 1/Wohnzimmer Switch On
Zeit: 21.56 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 3/Ankleide Switch On
Zeit: 22.12 Device: 4/Arbeitszimmer Switch On
Zeit: 22.20 Device: 2/Wintergarten Switch On
Zeit: 23.09 Device: 4/Arbeitszimmer Switch On
Zeit: 23.14 Device: 3/Ankleide Switch On
Zeit: 23.15 Device: 1/Wohnzimmer Switch On
Zeit: 23.20 Device: 2/Wintergarten Switch On
Zeit: 23.44 Device: 1/Wohnzimmer Switch On
Tag: Samstag - Anzahl Aktionen: 24
Zeit: 00.05 Device: 4/Arbeitszimmer Switch On
Zeit: 00.15 Device: 1/Wohnzimmer Switch On
Zeit: 00.15 Device: 3/Ankleide Switch On
Zeit: 00.17 Device: 4/Arbeitszimmer Switch On
Zeit: 00.25 Device: 1/Wohnzimmer Switch On
Zeit: 00.25 Device: 2/Wintergarten Switch On
Zeit: 00.45 Device: 2/Wintergarten Switch On
Zeit: 00.55 Device: 3/Ankleide Switch On
Zeit: 04.04 Device: 5/Werkstatt Switch On
Zeit: 04.54 Device: 5/Werkstatt Switch On
Zeit: 21.05 Device: 1/Wohnzimmer Switch On
Zeit: 21.10 Device: 2/Wintergarten Switch On
Zeit: 21.23 Device: 3/Ankleide Switch On
Zeit: 21.30 Device: 2/Wintergarten Switch On
Zeit: 21.42 Device: 1/Wohnzimmer Switch On
Zeit: 21.56 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 3/Ankleide Switch On
Zeit: 22.05 Device: 1/Wohnzimmer Switch On
Zeit: 22.12 Device: 4/Arbeitszimmer Switch On
Zeit: 22.20 Device: 2/Wintergarten Switch On
